variant,n_used,n_skipped,BLEU-1,BLEU-4,ROUGE-L,BLEU-corpus,consistency_rate,avg_hallucinations,avg_missed,BERTScore-F1
no_rag,50,0,0.13128345996680094,0.01694751429619382,0.1330133827212955,0.013512089439008683,0.36,0.96,2.28,0.8352775573730469
def_only,50,0,0.12561572030381868,0.014249221107907703,0.1322837893638608,0.010507064545354765,0.36,0.94,2.1,0.8340263366699219
rag_full,50,0,0.1275017942869704,0.014118000665679942,0.13022225976981847,0.01065699012812691,0.46,0.68,1.9,0.8314006924629211
